order,file_path,thumbnail,width,height,date_created
83,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0083.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0083_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
84,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0084.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0084_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
85,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0085.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0085_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
86,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0086.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0086_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
87,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0087.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0087_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
88,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0088.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0088_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
89,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0089.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0089_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
90,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0090.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0090_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
91,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0091.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0091_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
92,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0092.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0092_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
93,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0093.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0093_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
94,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0094.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0094_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
95,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0095.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0095_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
96,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0096.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0096_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
97,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0097.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0097_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
98,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0098.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0098_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
99,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0099.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0099_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
100,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0100.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0100_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
101,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0101.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0101_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
102,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0102.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0102_thumb.jpg,2848,4517,Tue Sep 22 09:59:46 CDT 2015
103,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0103.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0103_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
104,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0104.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0104_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
105,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0105.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0105_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
106,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0106.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0106_thumb.jpg,2848,4532,Tue Sep 22 09:59:46 CDT 2015
107,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0107.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0107_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
108,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0108.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0108_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
109,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0109.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0109_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
110,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0110.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0110_thumb.jpg,2848,4532,Tue Sep 22 09:59:46 CDT 2015
111,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0111.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0111_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
112,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0112.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0112_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
113,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0113.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0113_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
114,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0114.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0114_thumb.jpg,2848,4532,Tue Sep 22 09:59:46 CDT 2015
115,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0115.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0115_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
116,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0116.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0116_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
117,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0117.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0117_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
118,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0118.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0118_thumb.jpg,2848,4532,Tue Sep 22 09:59:46 CDT 2015
119,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0119.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0119_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
120,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0120.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0120_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
121,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0121.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0121_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
122,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0122.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0122_thumb.jpg,2848,4532,Tue Sep 22 09:59:46 CDT 2015
123,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0123.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0123_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
124,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0124.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0124_thumb.jpg,3744,5616,Tue Sep 22 09:59:46 CDT 2015
